Ciudad_Mapa,Nombre_despacho,Link_Despacho
"Arauca, Capital: Arauca",JUZGADO 004 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-004-administrativo-de-arauca
"Arauca, Capital: Arauca",JUZGADO 005 ADMINISTRATIVO DE ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-005-administrativo-de-arauca
Archipiélago de San Andrés,JUZGADO 001 ADMINISTRATIVO DE ARCH. DE SAN ANDRÉS,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-san-andres
"Atlántico, Capital: Barranquilla",JUZGADO 001 ADMINISTRATIVO ORAL DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 002 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 003 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 004 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 005 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 006 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 007 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 008 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-08-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 009 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-09-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 010 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-10-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 011 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-11-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 012 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-12-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 013 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-13-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 014 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-14-administrativo-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 015 ADMINISTRATIVO DE BARRANQUILLA,https://www.ramajudicial.gov.co/web/juzgado-015-administrativo-de-barranquilla
"Bolivar, Capital: Cartagena",JUZGADO 001 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 001 ADMINISTRATIVO DE MAGANGUÉ,https://www.ramajudicial.gov.co/web/juzgado-001-administrativo-de-magangue
"Bolivar, Capital: Cartagena",JUZGADO 002 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 003 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 004 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 005 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 006 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 007 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 008 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-08-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 009 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-09-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 010 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-10-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 011 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-11-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 012 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-12-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 013 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-13-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 014 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-14-administrativo-de-cartagena
"Bolivar, Capital: Cartagena",JUZGADO 015 ADMINISTRATIVO DE CARTAGENA,https://www.ramajudicial.gov.co/web/juzgado-15-administrativo-de-cartagena
"Boyacá, Capital: Tunja",CENTRO DE SERVICIOS JUZGADOS ADMINISTRATIVOS DE TUNJA,https://www.ramajudicial.gov.co/web/centro-de-servicios-juzgados-administrativos-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 001 ADMINISTRATIVO DE DUITAMA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-duitama
"Boyacá, Capital: Tunja",JUZGADO 001 ADMINISTRATIVO DE SOGAMOSO,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-sogamoso
"Boyacá, Capital: Tunja",JUZGADO 001 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 002 ADMINISTRATIVO DE DUITAMA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-duitama
"Boyacá, Capital: Tunja",JUZGADO 002 ADMINISTRATIVO DE SOGAMOSO,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-sogamoso
"Boyacá, Capital: Tunja",JUZGADO 002 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 003 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 003 ADMINISTRATIVO TRANSITORIO DE DUITAMA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-transitorio-de-duitama
"Boyacá, Capital: Tunja",JUZGADO 004 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 005 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 006 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 007 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 008 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-08-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 009 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-09-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 010 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-10-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 011 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-11-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 012 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-12-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 013 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-13-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 014 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-14-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 015 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-15-administrativo-de-tunja
"Boyacá, Capital: Tunja",JUZGADO 401 ADMINISTRATIVO DE TUNJA,https://www.ramajudicial.gov.co/web/juzgado-administrativo-transitorio-de-tunja
"Caldas, Capital: Manizales",JUZGADO 001 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 002 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 003 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 004 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 005 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-oral-de-descongestion-de-manizales
"Caldas, Capital: Manizales",JUZGADO 006 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-oral-de-descongestion-de-manizales
"Caldas, Capital: Manizales",JUZGADO 007 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-descongestion-de-manizales
"Caldas, Capital: Manizales",JUZGADO 008 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-descongestion-de-manizales
"Caldas, Capital: Manizales",JUZGADO 009 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-009-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 401 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-401-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 402 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-402-administrativo-de-manizales
"Caldas, Capital: Manizales",JUZGADO 403 ADMINISTRATIVO DE MANIZALES,https://www.ramajudicial.gov.co/web/juzgado-403-administrativo-de-manizales
"Caqueta, Capital: Florencia",JUZGADO 001 ADMINISTRATIVO DE FLORENCIA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-florencia
"Caqueta, Capital: Florencia",JUZGADO 002 ADMINISTRATIVO DE FLORENCIA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-florencia
"Caqueta, Capital: Florencia",JUZGADO 003 ADMINISTRATIVO DE FLORENCIA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-florencia
"Caqueta, Capital: Florencia",JUZGADO 004 ADMINISTRATIVO DE FLORENCIA,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-florencia
"Caqueta, Capital: Florencia",JUZGADO 005 ADMINISTRATIVO DE FLORENCIA,https://www.ramajudicial.gov.co/web/juzgado-005-administrativo-de-florencia
"Casanare, Capital: Yopal",JUZGADO 001 ADMINISTRATIVO DE YOPAL,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-yopal
"Casanare, Capital: Yopal",JUZGADO 002 ADMINISTRATIVO DE YOPAL,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-yopal
"Casanare, Capital: Yopal",JUZGADO 003 ADMINISTRATIVO DE YOPAL,https://www.ramajudicial.gov.co/web/juzgado-003-administrativo-de-yopal-
"Casanare, Capital: Yopal",JUZGADO 004 ADMINISTRATIVO DE YOPAL,https://www.ramajudicial.gov.co/web/juzgado-004-administrativo-de-yopal
"Casanare, Capital: Yopal",JUZGADO 401 ADMINISTRATIVO DE YOPAL,https://www.ramajudicial.gov.co/web/juzgado-401-administrativo-de-yopal
"Cauca, Capital: Popayán",JUZGADO 001 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 002 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 003 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 004 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 005 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 006 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 007 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 008 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-08-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 009 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-09-administrativo-de-popayan
"Cauca, Capital: Popayán",JUZGADO 010 ADMINISTRATIVO DE POPAYÁN,https://www.ramajudicial.gov.co/web/juzgado-10-administrativo-mixto-de-popayan
"Cesar, Capital: Valledupar",JUZGADO 001 ADMINISTRATIVO DE AGUACHICA,https://www.ramajudicial.gov.co/web/juzgado-001-administrativo-de-aguachica
"Cesar, Capital: Valledupar",JUZGADO 001 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 002 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 003 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 004 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 005 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 006 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-06-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 007 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-07-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 008 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-08-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO 009 ADMINISTRATIVO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-009-administrativo-de-valledupar
"Cesar, Capital: Valledupar",JUZGADO ADMINISTRATIVO TRANSITORIO DE VALLEDUPAR,https://www.ramajudicial.gov.co/web/juzgado-administrativo-transitorio-de-valledupar
"Chocó, Capital: Quibdó",JUZGADO 001 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-quibdo
"Chocó, Capital: Quibdó",JUZGADO 002 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-quibdo
"Chocó, Capital: Quibdó",JUZGADO 003 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-quibdo
"Chocó, Capital: Quibdó",JUZGADO 004 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-de-quibdo
"Chocó, Capital: Quibdó",JUZGADO 005 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-005-administrativo-de-quibdo-
"Chocó, Capital: Quibdó",JUZGADO 006 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-006-administrativo-de-quibdo
"Chocó, Capital: Quibdó",JUZGADO 007 ADMINISTRATIVO DE QUIBDÓ,https://www.ramajudicial.gov.co/web/juzgado-007-administrativo-de-quibdo
"Cordoba, Capital: Montería",JUZGADO 001 ADMINISTRATIVO DE MONTERÍA,https://www.ramajudicial.gov.co/web/juzgado-01-administrativo-de-monteria
"Cordoba, Capital: Montería",JUZGADO 002 ADMINISTRATIVO DE MONTERÍA,https://www.ramajudicial.gov.co/web/juzgado-02-administrativo-de-monteria
"Cordoba, Capital: Montería",JUZGADO 003 ADMINISTRATIVO DE MONTERÍA,https://www.ramajudicial.gov.co/web/juzgado-03-administrativo-de-monteria
"Cordoba, Capital: Montería",JUZGADO 004 ADMINISTRATIVO DE MONTERÍA,https://www.ramajudicial.gov.co/web/juzgado-04-administrativo-mixto-de-monteria
"Cordoba, Capital: Montería",JUZGADO 005 ADMINISTRATIVO DE MONTERÍA,https://www.ramajudicial.gov.co/web/juzgado-05-administrativo-de-monteria
